id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
407,Widerlegen,Verb,Widerlegen,Refute,"Safety, Emergencies & Social Interaction",Seine Theorie wurde schnell widerlegt.,His theory was quickly refuted.,—,—
408,Wiederholen,Verb,Wiederholen,Repeat,"Safety, Emergencies & Social Interaction",Könnten Sie das bitte wiederholen?,Could you please repeat that?,—,—
409,Zustimmen,Verb,Zustimmen,Agree,"Safety, Emergencies & Social Interaction",Ich muss dir leider zustimmen.,"Unfortunately, I have to agree with you.",—,—
410,Innovativ,adjektiv,Innovativ,Innovative,Arts & Entertainment,Sein Stil ist sehr innovativ und einzigartig.,His style is very innovative and unique.,—,—
411,Das Ballett,das (neutrum),Ballett,The Ballet,Arts & Entertainment,Sie tanzt seit Jahren Ballett.,She has been dancing ballet for years.,Ballette,—
412,Das Denkmal,das (neutrum),Denkmal,The Monument,Arts & Entertainment,Das Denkmal erinnert an die Geschichte der Stadt.,The monument commemorates the city’s history.,Denkmäler,—
413,Das Meisterwerk,das (neutrum),Meisterwerk,The Masterpiece,Arts & Entertainment,Dieses Gemälde gilt als sein Meisterwerk.,This painting is considered his masterpiece.,Meisterwerke,—
414,Das Museum,das (neutrum),Museum,The Museum,Arts & Entertainment,Das Museum hat eine neue Ausstellung eröffnet.,The museum has opened a new exhibition.,Museen,—
415,Das Orchester,das (neutrum),Orchester,The Orchestra,Arts & Entertainment,Das Orchester spielt eine Symphonie von Beethoven.,The orchestra is playing a symphony by Beethoven.,Orchester,—
416,Das Theater,das (neutrum),Theater,The Theatre,Arts & Entertainment,Im Theater wird ein neues Stück aufgeführt.,A new play is being performed at the theatre.,Theater,—
417,Der Dirigent,der (maskulin),Dirigent,The Conductor,Arts & Entertainment,Der Dirigent leitet das Orchester meisterhaft.,The conductor leads the orchestra masterfully.,Dirigenten,Dirigentin
418,Der Einfluss,der (maskulin),Einfluss,The Influence,Arts & Entertainment,Der Einfluss der Renaissance ist deutlich erkennbar.,The influence of the Renaissance is clearly visible.,—,—
419,Der Impressionismus,der (maskulin),Impressionismus,The Impressionism,Arts & Entertainment,Monet ist ein bekannter Künstler des Impressionismus.,Monet is a well-known artist of Impressionism.,—,—
420,Der Künstler,der (maskulin),Künstler,The Artist,Arts & Entertainment,Der Künstler stellt seine Werke in Berlin aus.,The artist is exhibiting his works in Berlin.,Künstler,Künstlerin
421,Die Ästhetik,die (feminin),Ästhetik,The Aesthetics,Arts & Entertainment,Die Ästhetik des Gemäldes ist beeindruckend.,The aesthetics of the painting are impressive.,—,Ästhetik
422,Die Aufführung,die (feminin),Aufführung,The Performance – Theatre,Arts & Entertainment,Die Aufführung beginnt um 20 Uhr.,The performance starts at 8 PM.,Aufführungen,Aufführung
423,Die Ausstellung,die (feminin),Ausstellung,The Exhibition,Arts & Entertainment,Wir besuchen morgen die Ausstellung im Museum.,We’re visiting the exhibition at the museum tomorrow.,Ausstellungen,Ausstellung
424,Die Galerie,die (feminin),Galerie,The Gallery,Arts & Entertainment,In der Galerie werden moderne Kunstwerke ausgestellt.,Modern artworks are exhibited in the gallery.,Galerien,Galerie
425,Die Inspiration,die (feminin),Inspiration,The Inspiration,Arts & Entertainment,Die Natur ist ihre größte Inspiration.,Nature is her greatest inspiration.,—,Inspiration
426,Die Kreativität,die (feminin),Kreativität,The Creativity,Arts & Entertainment,Kreativität ist in der Kunst sehr wichtig.,Creativity is very important in art.,—,Kreativität
427,Die Kultur,die (feminin),Kultur,The Culture,Arts & Entertainment,Die Kultur dieses Landes ist reich und vielfältig.,The culture of this country is rich and diverse.,Kulturen,Kultur
428,Die Kunstbewegung,die (feminin),Kunstbewegung,The Art Movement,Arts & Entertainment,Der Surrealismus war eine bedeutende Kunstbewegung.,Surrealism was a significant art movement.,Kunstbewegungen,Kunstbewegung
429,Die Malerei,die (feminin),Malerei,The Painting,Arts & Entertainment,Die Malerei ist seine größte Leidenschaft.,Painting is his greatest passion.,—,Malerei
430,Die Moderne,die (feminin),Moderne,The Modernity,Arts & Entertainment,Die Moderne brachte viele Veränderungen in der Kunst.,Modernity brought many changes in art.,—,—
431,Die Oper,die (feminin),Oper,The Opera,Arts & Entertainment,Wir haben Tickets für die Oper heute Abend.,We have tickets for the opera tonight.,Opern,Oper
432,Die Skulptur,die (feminin),Skulptur,The Sculpture,Arts & Entertainment,Die Skulptur im Park ist aus Bronze.,The sculpture in the park is made of bronze.,Skulpturen,—
433,Die Symphonie,die (feminin),Symphonie,The Symphony,Arts & Entertainment,Die Symphonie war atemberaubend.,The symphony was breathtaking.,Symphonien,—
434,Die Volkskunst,die (feminin),Volkskunst,The Folk Art,Arts & Entertainment,Die Volkskunst spiegelt die Kultur des Landes wider.,Folk art reflects the country’s culture.,—,—
435,Interpretieren,Verb,Interpretieren,To Interpret,Arts & Entertainment,Wie würdest du dieses Gedicht interpretieren?,How would you interpret this poem?,—,—
436,Künstlerisch,adjektiv,Künstlerisch,Artistic,Arts & Entertainment,Das ist sehr künstlerisch gestaltet.,That is designed very artistically.,—,—
437,Künstlich,adjektiv,Künstlich,Artificially,Arts & Entertainment,Der See wurde künstlich angelegt.,The lake was created artificially.,—,—
438,Das Aquarell,das (neutrum),Aquarell,The Watercolor,Arts & Entertainment,Sie malt ein wunderschönes Aquarell.,She is painting a beautiful watercolor.,Aquarelle,—
439,Das Atelier,das (neutrum),Atelier,The Studio,Arts & Entertainment,Der Künstler arbeitet in seinem Atelier.,The artist works in his studio.,Ateliers,—
440,Das Bild,das (neutrum),Bild,The Image,Arts & Entertainment,Das Bild hängt schief.,The picture hangs crooked.,Bilder,—
441,Das Gemälde,das (neutrum),Gemälde,The Painting,Arts & Entertainment,Das Gemälde ist Millionen wert.,The painting is worth millions.,Gemälde,—
442,Das Modell,das (neutrum),Modell,The Model,Arts & Entertainment,Sie stand Modell für den berühmten Maler.,She modeled for the famous painter.,Modelle,—
443,Das Mosaik,das (neutrum),Mosaik,The Mosaic,Arts & Entertainment,Das Mosaik besteht aus tausenden kleinen Steinen.,The mosaic consists of thousands of small stones.,Mosaiken,—
444,Das Porträt,das (neutrum),Porträt,The Portrait,Arts & Entertainment,Das Porträt sieht dir sehr ähnlich.,The portrait looks very much like you.,Porträts,—
445,Del Dom,der (maskulin),Dom,Del Dom,Arts & Entertainment,Der Kölner Dom ist weltberühmt.,The Cologne Cathedral is world-famous.,Dome/Doms,—
446,Der Abdruck,der (maskulin),Abdruck,The Imprint,Arts & Entertainment,Der Abdruck seines Fußes war im Sand zu sehen.,The imprint of his foot was visible in the sand.,Abdrücke,—
447,Der Akt,der (maskulin),Akt,The Act,Arts & Entertainment,Das Theaterstück hat drei Akte.,The play has three acts.,Akte,—
448,Der Bau,der (maskulin),Bau,The Construction,Arts & Entertainment,Der Bau der Autobahn verzögert sich.,The construction of the highway is delayed.,Bauten,—
449,Der Bildhauer,der (maskulin),Bildhauer,The Sculptor,Arts & Entertainment,Der Bildhauer formt eine Statue aus Marmor.,The sculptor forms a statue out of marble.,Bildhauer,Bildhauerin
450,Der Bildteppich,der (maskulin),Bildteppich,The Tapestry,Arts & Entertainment,Der alte Bildteppich hängt im Schloss.,The old tapestry hangs in the castle.,Bildteppiche,—
451,Der Bogen,der (maskulin),Bogen,The Bow,Arts & Entertainment,Der Bogen der Brücke ist sehr elegant.,The arch of the bridge is very elegant.,Bögen,—
452,Der Katalog,der (maskulin),Katalog,The Catalogue,Arts & Entertainment,Ich habe die Produkte im Katalog gefunden.,I found the products in the catalog.,Kataloge,—
453,Der Pinsel,der (maskulin),Pinsel,The Brush,Arts & Entertainment,Er wusch den Pinsel sorgfältig aus.,He washed the brush carefully.,Pinsel,—
454,Der Rahmen,der (maskulin),Rahmen,The Frame,Arts & Entertainment,Der Rahmen passt perfekt zum Bild.,The frame matches the picture perfectly.,Rahmen,—
455,Der Ton,der (maskulin),Ton,The Tone,Arts & Entertainment,Sie formte eine Schale aus Ton.,She formed a bowl out of clay.,Töne,—
456,Die Büste,die (feminin),Büste,The Bust,Arts & Entertainment,Die Büste von Beethoven steht auf dem Klavier.,The bust of Beethoven stands on the piano.,Büsten,Büste
457,Die Gemäldegalerie,die (feminin),Gemäldegalerie,The Art Gallery,Arts & Entertainment,Wir besuchten die nationale Gemäldegalerie.,We visited the national picture gallery.,Gemäldegalerien,Gemäldegalerie
458,Die Holzschnitzerei,die (feminin),Holzschnitzerei,The Wood Carving,Arts & Entertainment,Diese Holzschnitzerei ist sehr detailliert.,This wood carving is very detailed.,Holzschnitzereien,Holzschnitzerei
459,Die Karikatur,die (feminin),Karikatur,The Caricature,Arts & Entertainment,Die Karikatur in der Zeitung war sehr lustig.,The caricature in the newspaper was very funny.,Karikaturen,Karikatur
460,Die Keramik,die (feminin),Keramik,The Ceramics,Arts & Entertainment,Sie macht gerne Keramik in ihrer Freizeit.,She likes making ceramics in her free time.,—,Keramik
461,Die Kohle,die (feminin),Kohle,The Coal,Arts & Entertainment,Er zeichnet am liebsten mit Kohle.,He prefers to draw with charcoal.,— (Unzählbar),Kohle
462,Die Kunst,die (feminin),Kunst,Art,Arts & Entertainment,Kunst ist ein wichtiger Teil unserer Kultur.,Art is an important part of our culture.,—,Kunst
463,Die Kunstsammlung,die (feminin),Kunstsammlung,The Art Collection,Arts & Entertainment,Die Kunstsammlung wurde dem Museum gespendet.,The art collection was donated to the museum.,Kunstsammlungen,Kunstsammlung
464,Die Kuppel,die (feminin),Kuppel,The Dome,Arts & Entertainment,Die Kuppel der Kirche ist beeindruckend.,The dome of the church is impressive.,Kuppeln,Kuppel
465,Die Landschaft,die (feminin),Landschaft,The Landscape,Arts & Entertainment,Die Landschaft in dieser Region ist atemberaubend.,The landscape in this region is breathtaking.,Landschaften,Landschaft
466,Die Palette,die (feminin),Palette,The Palette,Arts & Entertainment,Die Palette fiel auf den Boden.,The palette fell on the floor.,Paletten,Palette
467,Die Sammlung,die (feminin),Sammlung,The Collection,Arts & Entertainment,Seine Sammlung von Briefmarken ist riesig.,His collection of stamps is huge.,Sammlungen,Sammlung
468,Die Skizze,die (feminin),Skizze,The Sketch,Arts & Entertainment,Er machte eine schnelle Skizze von der Szene.,He made a quick sketch of the scene.,Skizzen,—
469,Die Statue,die (feminin),Statue,The Statue,Arts & Entertainment,Die Freiheitsstatue ist ein Wahrzeichen.,The Statue of Liberty is a landmark.,Statuen,—
470,Die Töpferware,die (feminin),Töpferware,The Pottery,Arts & Entertainment,Die Töpferware wurde auf dem Markt verkauft.,The pottery was sold at the market.,Töpferwaren,—
471,Säule,die (feminin),Säule,The Column,Arts & Entertainment,Die Säule stützt das Dach.,The column supports the roof.,Säulen,—
472,Bearbeiten,Verb,Bearbeiten,Edit,Arts & Entertainment,Er muss das Holz noch bearbeiten.,He still has to process the wood.,—,—
473,Das Schmücken,Verb,Schmücken,The Decorating,Arts & Entertainment,Das Schmücken des Weihnachtsbaums macht Spaß.,Decorating the Christmas tree is fun.,—,—
474,Gravieren,Verb,Gravieren,Engraving,Arts & Entertainment,Er ließ seinen Namen in den Ring gravieren.,He had his name engraved in the ring.,—,—
475,Kreieren,Verb,Kreieren,Create,Arts & Entertainment,Der Designer möchte eine neue Kollektion kreieren.,The designer wants to create a new collection.,—,—
476,Formen,Verb/Nomen,Formen,Shapes,Arts & Entertainment,Sie formen den Teig zu kleinen Kugeln.,They form the dough into small balls.,Formen,—
477,Kostenlos,adjektiv,Kostenlos,Free Of Charge,Business & Finance,Die Kontoeröffnung ist kostenlos.,Opening the account is free of charge.,—,—
478,Das Formular,das (neutrum),Formular,The Form,Business & Finance,Bitte füllen Sie dieses Formular aus.,Please fill out this form.,Formulare,—
479,Das Girokonto,das (neutrum),Girokonto,The Checking Account,Business & Finance,Ich möchte ein Girokonto eröffnen.,I would like to open a checking account.,Girokonten,—
480,Das Konto,das (neutrum),Konto,The Account,Business & Finance,Wie ist Ihre Kontonummer?,What is your account number?,Konten,—
481,Das Online-Banking,das (neutrum),Online-Banking,The Online Banking,Business & Finance,Ich nutze gerne Online-Banking.,I like to use online banking.,—,—
482,Das Passwort,das (neutrum),Passwort,The Password,Business & Finance,Bitte geben Sie Ihr Passwort ein.,Please enter your password.,Passwörter,—
483,Das Sparkonto,das (neutrum),Sparkonto,The Savings Account,Business & Finance,Er hat ein Sparkonto eröffnet.,He opened a savings account.,Sparkonten,—
484,Der Geldautomat,der (maskulin),Geldautomat,The Atm,Business & Finance,Wo ist der nächste Geldautomat?,Where is the nearest ATM?,Geldautomaten,—
485,Der Kontostand,der (maskulin),Kontostand,The Account Balance,Business & Finance,Ich möchte meinen Kontostand prüfen.,I would like to check my account balance.,Kontostände,—
486,Die Aktie,die (feminin),Aktie,"The Stock, Share",Business & Finance,Er hat Aktien von einem großen Unternehmen gekauft.,He bought shares of a large company.,Aktien,Aktie
487,Die Bank,die (feminin),Bank,The Bank,Business & Finance,Die Bank schließt um 16 Uhr.,The bank closes at 4 PM.,Banken,Bank
488,Die Bankkarte,die (feminin),Bankkarte,The Bank Card,Business & Finance,Ich habe meine Bankkarte verloren.,I lost my bank card.,Bankkarten,Bankkarte
489,Die Karte,die (feminin),Karte,The Card,Business & Finance,Kann ich mit Karte zahlen?,Can I pay by card?,Karten,Karte
490,Die Überweisung,die (feminin),Überweisung,The Transfer,Business & Finance,Die Überweisung ist noch nicht angekommen.,The transfer hasn’t arrived yet.,Überweisungen,—
491,Die Währung,die (feminin),Währung,The Currency,Business & Finance,Der Euro ist die Währung in Deutschland.,The euro is the currency in Germany.,Währungen,—
492,Die Zahlung,die (feminin),Zahlung,The Payment,Business & Finance,Die Zahlung ist eingegangen.,The payment has been received.,Zahlungen,—
493,Einzahlung,die (feminin),Einzahlung,The Deposit,Business & Finance,Die Einzahlung wurde Ihrem Konto gutgeschrieben.,The deposit has been credited to your account.,Einzahlungen,—
494,Die Zinsen,Plural,Zinsen,The Interest – Financial,Business & Finance,Die Zinsen für dieses Darlehen sind hoch.,The interest on this loan is high.,—,—
495,Abheben,Verb,Abheben,To Withdraw,Business & Finance,Ich möchte 100 Euro von meinem Konto abheben.,I would like to withdraw 100 euros from my account.,—,—
496,Gründen,Verb,Gründen,"To Establish, To Found",Business & Finance,Sie möchten eine Firma gründen.,They want to establish a company.,—,—
497,Leihen,Verb,Leihen,"To Lend, To Borrow",Business & Finance,Kannst du mir 20 Euro leihen?,Can you lend me 20 euros?,—,—
498,Überweisen,Verb,Überweisen,To Transfer,Business & Finance,Ich werde das Geld morgen überweisen.,I will transfer the money tomorrow.,—,—
499,Verdienen,Verb,Verdienen,To Earn,Business & Finance,Wie viel verdienst du im Monat?,How much do you earn per month?,—,—
500,Wechseln,Verb,Wechseln,To Exchange/Change,Business & Finance,Wo kann ich Geld wechseln?,Where can I exchange money?,—,—
501,Zahlen,Verb/Nomen,Zahlen,To Pay,Business & Finance,Ich möchte die Rechnung jetzt zahlen.,I would like to pay the bill now.,—,—
502,Das Auge,das (neutrum),Auge,Eye,Health & Wellness,Das rechte Auge juckt.,The right eye itches.,Augen,—
503,Das Bein,das (neutrum),Bein,The Leg,Health & Wellness,Sie hat lange Beine.,She has long legs.,Beine,—
504,Das Gehirn,das (neutrum),Gehirn,Brain,Health & Wellness,Das Gehirn steuert den Körper.,The brain controls the body.,Gehirne,—
505,Das Gesicht,das (neutrum),Gesicht,The Face,Health & Wellness,Ihr Gesicht ist sehr freundlich.,Her face is very friendly.,Gesichter,—
506,Das Haar,das (neutrum),Haar,Hair,Health & Wellness,Sie hat langes Haar.,She has long hair.,Haare,—
507,Das Herz,das (neutrum),Herz,The Heart,Health & Wellness,Sein Herz schlägt schnell.,His heart beats fast.,Herzen,—
508,Das Kinn,das (neutrum),Kinn,Chin,Health & Wellness,Er reibt sich das Kinn.,He rubs his chin.,Kinn,—
509,Das Knie,das (neutrum),Knie,The Knee,Health & Wellness,Er hat sich das Knie verletzt.,He hurt his knee.,Knie,—
510,Das Ohr,das (neutrum),Ohr,The Ear,Health & Wellness,Peter hört auf dem rechten Ohr nicht gut.,Peter can’t hear well in his right ear.,Ohren,—
511,Das Organ,das (neutrum),Organ,Organ,Health & Wellness,Das Herz ist ein Organ.,The heart is an organ.,Organe,—
512,Der Arm,der (maskulin),Arm,The Arm,Health & Wellness,Ich habe mir den Arm verletzt.,I injured my arm.,Arme,—
513,Der Bart,der (maskulin),Bart,Beard,Health & Wellness,Er trägt einen Bart.,He wears a beard.,Bärte,—
514,Der Bauch,der (maskulin),Bauch,The Stomach/Belly,Health & Wellness,Mein Bauch tut nach dem Essen weh.,My stomach hurts after eating.,Bäuche,—
515,Der Darm,der (maskulin),Darm,Intestine,Health & Wellness,Der Darm verdaut das Essen.,The intestine digests the food.,Därme,—
516,Der Daumen,der (maskulin),Daumen,Thumb,Health & Wellness,Er drückt mir die Daumen.,He keeps his fingers crossed for me.,Daumen,—
517,Der Ellenbogen,der (maskulin),Ellenbogen,Elbow,Health & Wellness,Er hat sich den Ellenbogen gestoßen.,He bumped his elbow.,Ellenbogen,—
518,Der Finger,der (maskulin),Finger,The Finger,Health & Wellness,Er hat sich in den Finger geschnitten.,He cut his finger.,Finger,—
519,Der Fuß,der (maskulin),Fuß,Foot,Health & Wellness,Mein rechter Fuß ist größer.,My right foot is bigger.,Füße,—
520,Der Hals,der (maskulin),Hals,The Neck,Health & Wellness,Ich habe Halsschmerzen.,I have a sore throat.,Hälse,—
521,Der Kiefer,der (maskulin),Kiefer,Jaw,Health & Wellness,Sein Kiefer ist gebrochen.,His jaw is broken.,Kiefer,—
522,Der Knöchel,der (maskulin),Knöchel,Ankle,Health & Wellness,Mein Knöchel ist geschwollen.,My ankle is swollen.,Knöchel,—
523,Der Knochen,der (maskulin),Knochen,The Bone,Health & Wellness,Der Knochen ist gebrochen.,The bone is broken,Knochen,—
524,Der Kopf,der (maskulin),Kopf,The Head,Health & Wellness,Mein Kopf tut weh.,My head hurts.,Köpfe,—
525,Der Magen,der (maskulin),Magen,Stomach,Health & Wellness,Mein Magen knurrt.,My stomach is growling.,Mägen,—
526,Der Mund,der (maskulin),Mund,The Mouth,Health & Wellness,Halt den Mund!,Keep your mouth shut!,Münder,—
527,Der Muskel,der (maskulin),Muskel,The Muscle,Health & Wellness,Er trainiert seine Muskeln jeden Tag.,He trains his muscles every day.,Muskeln,—
528,Der Nerv,der (maskulin),Nerv,Nerve,Health & Wellness,Du gehst mir auf den Nerv.,You are getting on my nerves.,Nerven,—
529,Der Rücken,der (maskulin),Rücken,The Back,Health & Wellness,Mein Rücken tut nach dem langen Sitzen weh.,My back hurts after sitting for a long time.,—,—
530,Der Zahn,der (maskulin),Zahn,The Tooth,Health & Wellness,Mein Zahn braucht eine Füllung.,My tooth needs to be filled.,Zähne,—
531,Der Zeh,der (maskulin),Zeh,The Toe,Health & Wellness,Ich habe mir den Zeh gestoßen.,I stubbed my toe.,Zehen,—
532,Die Ader,die (feminin),Ader,Vene,Health & Wellness,Die Ader ist geplatzt.,The vein has burst.,Adern,Ader
533,Die Backe,die (feminin),Backe,Cheek,Health & Wellness,Sie hat rote Backen.,She has red cheeks.,Backen,Backe
534,Die Brust,die (feminin),Brust,Breast,Health & Wellness,Er hat Schmerzen in der Brust.,He has pain in his chest.,Brüste,Brust
535,Die Ferse,die (feminin),Ferse,Heel,Health & Wellness,Meine Ferse tut weh.,My heel hurts.,Fersen,Ferse
536,Die Hand,die (feminin),Hand,The Hand,Health & Wellness,Kannst du mir bitte deine Hand geben?,Can you please give me your hand?,Hände,Hand
537,Die Haut,die (feminin),Haut,The Skin,Health & Wellness,Sie hat eine sehr weiche Haut.,She has very soft skin.,— (Unzählbar),Haut
538,Die Leber,die (feminin),Leber,Liver,Health & Wellness,Die Leber ist ein wichtiges Organ.,The liver is an important organ.,Lebern,Leber
539,Die Lippe,die (feminin),Lippe,Lip,Health & Wellness,Sie hat volle Lippen.,She has full lips.,Lippen,Lippe
540,Die Lunge,die (feminin),Lunge,Lung,Health & Wellness,Rauchen schadet der Lunge.,Smoking harms the lungs.,Lungen,Lunge
541,Die Nase,die (feminin),Nase,The Nose,Health & Wellness,Seine Nase ist verstopft.,His nose is blocked.,Nasen,Nase
542,Die Niere,die (feminin),Niere,Kidney,Health & Wellness,Er hat Probleme mit der Niere.,He has problems with his kidney.,Nieren,Niere
543,Die Schulter,die (feminin),Schulter,Shoulder,Health & Wellness,Sie klopfte ihm auf die Schulter.,She patted him on the shoulder.,Schultern,—
544,"Die Schulter, Die Schultern",die (feminin),Schulter / Schultern,"The Shoulder, The Shoulders",Health & Wellness,Meine Schultern sind nach dem Training müde.,My shoulders are tired after the workout.,Schultern,—
545,Die Stirn,die (feminin),Stirn,Forehead,Health & Wellness,Er hat eine hohe Stirn.,He has a high forehead.,Stirnen,—
546,Die Zunge,die (feminin),Zunge,The Tongue,Health & Wellness,Tina hat sich auf die Zunge gebissen.,Tina bit her tongue,Zungen,—
547,Das Händeschütteln,das (neutrum),Händeschütteln,The Handshake,"Safety, Emergencies & Social Interaction",Ein festes Händeschütteln hinterlässt einen guten Eindruck.,A firm handshake leaves a good impression.,—,—
548,Das Kopfnicken,das (neutrum),Kopfnicken,The Nodding,"Safety, Emergencies & Social Interaction",Mit einem Kopfnicken bestätigte sie seine Aussage.,She confirmed his statement with a nod.,—,—
549,Das Kopfschütteln,das (neutrum),Kopfschütteln,The Head Shaking,"Safety, Emergencies & Social Interaction",Sein Kopfschütteln zeigte Ablehnung.,His head shaking showed disapproval.,—,—
550,Das Schulterzucken,das (neutrum),Schulterzucken,The Shrug,"Safety, Emergencies & Social Interaction",Sein Schulterzucken zeigte seine Unsicherheit.,His shrug showed his uncertainty.,—,—
551,Das Stirnrunzeln,das (neutrum),Stirnrunzeln,The Frown,"Safety, Emergencies & Social Interaction",Sein Stirnrunzeln deutete auf Verwirrung hin.,His frown indicated confusion.,—,—
552,Die Augenbraue,die (feminin),Augenbraue,The Eyebrow,"Safety, Emergencies & Social Interaction",Er hob die Augenbraue skeptisch.,He raised his eyebrow skeptically.,Augenbrauen,Augenbraue
553,Die Faust,die (feminin),Faust,The Fist,"Safety, Emergencies & Social Interaction",Er ballte wütend die Faust.,He clenched his fist angrily.,Fäuste,Faust
554,Die Fingerbewegung,die (feminin),Fingerbewegung,The Finger Movement,"Safety, Emergencies & Social Interaction",Mit einer Fingerbewegung rief er den Kellner.,"With a finger movement, he called the waiter.",Fingerbewegungen,Fingerbewegung
555,Die Geste,die (feminin),Geste,The Gesture,"Safety, Emergencies & Social Interaction",Seine Geste zeigte seine Unsicherheit.,His gesture showed his insecurity.,Gesten,Geste
556,Die Grimasse,die (feminin),Grimasse,The Grimace,"Safety, Emergencies & Social Interaction","Sie zog eine Grimasse, um ihre Abneigung zu zeigen.",She made a grimace to show her dislike.,Grimassen,Grimasse
557,Die Handbewegung,die (feminin),Handbewegung,The Hand Movement,"Safety, Emergencies & Social Interaction",Seine Handbewegung signalisierte Eile.,His hand movement signaled urgency.,Handbewegungen,Handbewegung
558,Die Körperhaltung,die (feminin),Körperhaltung,The Posture,"Safety, Emergencies & Social Interaction",Die richtige Körperhaltung ist wichtig für ein sicheres Auftreten.,Good posture is important for confident presence.,Körperhaltungen,Körperhaltung
559,Die Mimik,die (feminin),Mimik,The Facial Expression,"Safety, Emergencies & Social Interaction",Ihre Mimik verriet ihre Freude.,Her facial expression revealed her joy.,—,Mimik
560,Die Unruhe,die (feminin),Unruhe,The Restlessness,"Safety, Emergencies & Social Interaction",Seine Unruhe war an seinem Zappeln erkennbar.,His restlessness was noticeable in his fidgeting.,—,—
561,Die Zappeligkeit,die (feminin),Zappeligkeit,The Fidgetiness,"Safety, Emergencies & Social Interaction",Die Zappeligkeit des Kindes fiel sofort auf.,The child’s fidgetiness was immediately noticeable.,—,—
562,Die Verschränkten Arme,Phrase,Verschränkten Arme,The Crossed Arms,"Safety, Emergencies & Social Interaction",Er stand mit verschränkten Armen da.,He stood there with crossed arms.,—,—
563,Das Schmunzeln,Verb,Schmunzeln,The Smirk,"Safety, Emergencies & Social Interaction",Ein leichtes Schmunzeln erschien auf seinem Gesicht.,A slight smirk appeared on his face.,—,—
564,Das Wegschauen,Verb,Wegschauen,The Looking Away,"Safety, Emergencies & Social Interaction","Er versuchte, das unangenehme Thema durch Wegschauen zu vermeiden.",He tried to avoid the uncomfortable topic by looking away.,—,—
565,Das Winken,Verb,Winken,The Waving,"Safety, Emergencies & Social Interaction",Sie verabschiedete sich mit einem freundlichen Winken.,She said goodbye with a friendly wave.,—,—
566,Das Augenrollen,Verb/Nomen,Augenrollen,The Eye Rolling,"Safety, Emergencies & Social Interaction",Sie reagierte mit einem genervten Augenrollen.,She reacted with an annoyed eye roll.,—,—
567,Fesselnd,adjektiv,Fesselnd,Gripping,Arts & Entertainment,Der Roman ist von Anfang an fesselnd.,The novel is gripping from the start.,—,—
568,Das Buch,das (neutrum),Buch,The Book,Arts & Entertainment,Dieses Buch ist sehr fesselnd.,This book is very gripping.,Bücher,—
569,Das Gedicht,das (neutrum),Gedicht,The Poem,Arts & Entertainment,Er hat ein wunderschönes Gedicht geschrieben.,He wrote a beautiful poem.,Gedichte,—
570,Das Kapitel,das (neutrum),Kapitel,The Chapter,Arts & Entertainment,Ich habe das erste Kapitel bereits gelesen.,I’ve already read the first chapter.,Kapitel,—
571,Der Autor,der (maskulin),Autor,The Author,Arts & Entertainment,Der Autor dieses Buches ist sehr bekannt.,The author of this book is very famous.,Autoren,Autorin
572,Der Bestseller,der (maskulin),Bestseller,The Bestseller,Arts & Entertainment,Ihr neues Buch ist ein Bestseller geworden.,Her new book has become a bestseller.,Bestseller,—
573,Der Dichter,der (maskulin),Dichter,The Poet,Arts & Entertainment,Goethe war ein berühmter deutscher Dichter.,Goethe was a famous German poet.,Dichter,Dichterin
574,Der Klassiker,der (maskulin),Klassiker,The Classic,Arts & Entertainment,„Faust“ ist ein deutscher Klassiker.,“Faust” is a German classic.,Klassiker,—
575,Der Protagonist,der (maskulin),Protagonist,The Protagonist,Arts & Entertainment,Der Protagonist des Romans ist ein junger Held.,The protagonist of the novel is a young hero.,Protagonisten,Protagonistin
576,Der Roman,der (maskulin),Roman,The Novel,Arts & Entertainment,Dieser Roman hat mich tief berührt.,This novel deeply moved me.,Romane,—
577,Der Verlag,der (maskulin),Verlag,The Publisher,Arts & Entertainment,Der Verlag hat viele bekannte Autoren.,The publisher has many well-known authors.,Verlage,—
578,Die Autorin,die (feminin),Autorin,The (Female) Author,Arts & Entertainment,Die Autorin hat mehrere Bestseller geschrieben.,The female author has written several bestsellers.,Autorinnen,Autorin
579,Die Buchhandlung,die (feminin),Buchhandlung,The Bookstore,Arts & Entertainment,Ich kaufe gerne Bücher in der Buchhandlung.,I like buying books at the bookstore.,Buchhandlungen,Buchhandlung
580,Die Handlung,die (feminin),Handlung,The Plot,Arts & Entertainment,Die Handlung des Buches ist kompliziert.,The plot of the book is complex.,Handlungen,Handlung
581,Die Kurzgeschichte,die (feminin),Kurzgeschichte,The Short Story,Arts & Entertainment,Die Kurzgeschichte war kurz aber intensiv.,The short story was brief but intense.,Kurzgeschichten,Kurzgeschichte
582,Die Literatur,die (feminin),Literatur,The Literature,Arts & Entertainment,Sie studiert deutsche Literatur an der Universität.,She studies German literature at the university.,—,Literatur
583,Die Novelle,die (feminin),Novelle,The Novella,Arts & Entertainment,Die Novelle erzählt eine faszinierende Geschichte.,The novella tells a fascinating story.,Novellen,Novelle
584,Die Protagonistin,die (feminin),Protagonistin,The (Female) Protagonist,Arts & Entertainment,Die Protagonistin kämpft für Gerechtigkeit.,The female protagonist fights for justice.,Protagonistinnen,Protagonistin
