id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
558,Die Körperhaltung,die (feminin),Körperhaltung,The Posture,Body Language,Die richtige Körperhaltung ist wichtig für ein sicheres Auftreten.,Good posture is important for confident presence.,Körperhaltungen,Körperhaltung
559,Die Mimik,die (feminin),Mimik,The Facial Expression,Body Language,Ihre Mimik verriet ihre Freude.,Her facial expression revealed her joy.,—,Mimik
560,Die Unruhe,die (feminin),Unruhe,The Restlessness,Body Language,Seine Unruhe war an seinem Zappeln erkennbar.,His restlessness was noticeable in his fidgeting.,—,—
561,Die Zappeligkeit,die (feminin),Zappeligkeit,The Fidgetiness,Body Language,Die Zappeligkeit des Kindes fiel sofort auf.,The child’s fidgetiness was immediately noticeable.,—,—
562,Die Verschränkten Arme,Phrase,Verschränkten Arme,The Crossed Arms,Body Language,Er stand mit verschränkten Armen da.,He stood there with crossed arms.,—,—
563,Das Schmunzeln,Verb,Schmunzeln,The Smirk,Body Language,Ein leichtes Schmunzeln erschien auf seinem Gesicht.,A slight smirk appeared on his face.,—,—
564,Das Wegschauen,Verb,Wegschauen,The Looking Away,Body Language,"Er versuchte, das unangenehme Thema durch Wegschauen zu vermeiden.",He tried to avoid the uncomfortable topic by looking away.,—,—
565,Das Winken,Verb,Winken,The Waving,Body Language,Sie verabschiedete sich mit einem freundlichen Winken.,She said goodbye with a friendly wave.,—,—
566,Das Augenrollen,Verb/Nomen,Augenrollen,The Eye Rolling,Body Language,Sie reagierte mit einem genervten Augenrollen.,She reacted with an annoyed eye roll.,—,—
567,Fesselnd,adjektiv,Fesselnd,Gripping,Books,Der Roman ist von Anfang an fesselnd.,The novel is gripping from the start.,—,—
568,Das Buch,das (neutrum),Buch,The Book,Books,Dieses Buch ist sehr fesselnd.,This book is very gripping.,Bücher,—
569,Das Gedicht,das (neutrum),Gedicht,The Poem,Books,Er hat ein wunderschönes Gedicht geschrieben.,He wrote a beautiful poem.,Gedichte,—
570,Das Kapitel,das (neutrum),Kapitel,The Chapter,Books,Ich habe das erste Kapitel bereits gelesen.,I’ve already read the first chapter.,Kapitel,—
571,Der Autor,der (maskulin),Autor,The Author,Books,Der Autor dieses Buches ist sehr bekannt.,The author of this book is very famous.,Autoren,Autorin
572,Der Bestseller,der (maskulin),Bestseller,The Bestseller,Books,Ihr neues Buch ist ein Bestseller geworden.,Her new book has become a bestseller.,Bestseller,—
573,Der Dichter,der (maskulin),Dichter,The Poet,Books,Goethe war ein berühmter deutscher Dichter.,Goethe was a famous German poet.,Dichter,Dichterin
574,Der Klassiker,der (maskulin),Klassiker,The Classic,Books,„Faust“ ist ein deutscher Klassiker.,“Faust” is a German classic.,Klassiker,—
575,Der Protagonist,der (maskulin),Protagonist,The Protagonist,Books,Der Protagonist des Romans ist ein junger Held.,The protagonist of the novel is a young hero.,Protagonisten,Protagonistin
576,Der Roman,der (maskulin),Roman,The Novel,Books,Dieser Roman hat mich tief berührt.,This novel deeply moved me.,Romane,—
577,Der Verlag,der (maskulin),Verlag,The Publisher,Books,Der Verlag hat viele bekannte Autoren.,The publisher has many well-known authors.,Verlage,—
578,Die Autorin,die (feminin),Autorin,The (Female) Author,Books,Die Autorin hat mehrere Bestseller geschrieben.,The female author has written several bestsellers.,Autorinnen,Autorin
579,Die Buchhandlung,die (feminin),Buchhandlung,The Bookstore,Books,Ich kaufe gerne Bücher in der Buchhandlung.,I like buying books at the bookstore.,Buchhandlungen,Buchhandlung
580,Die Handlung,die (feminin),Handlung,The Plot,Books,Die Handlung des Buches ist kompliziert.,The plot of the book is complex.,Handlungen,Handlung
581,Die Kurzgeschichte,die (feminin),Kurzgeschichte,The Short Story,Books,Die Kurzgeschichte war kurz aber intensiv.,The short story was brief but intense.,Kurzgeschichten,Kurzgeschichte
582,Die Literatur,die (feminin),Literatur,The Literature,Books,Sie studiert deutsche Literatur an der Universität.,She studies German literature at the university.,—,Literatur
583,Die Novelle,die (feminin),Novelle,The Novella,Books,Die Novelle erzählt eine faszinierende Geschichte.,The novella tells a fascinating story.,Novellen,Novelle
584,Die Protagonistin,die (feminin),Protagonistin,The (Female) Protagonist,Books,Die Protagonistin kämpft für Gerechtigkeit.,The female protagonist fights for justice.,Protagonistinnen,Protagonistin
585,Die Schriftstellerin,die (feminin),Schriftstellerin,The (Female) Writer,Books,Die Schriftstellerin hat einen neuen Roman veröffentlicht.,The female writer has published a new novel.,Schriftstellerinnen,Schriftstellerin
586,Die Seite,die (feminin),Seite,The Page,Books,Das Buch hat über 300 Seiten.,The book has over 300 pages.,Seiten,—
587,Figur,die (feminin),Figur,Figure,Books,Die Hauptfigur in diesem Roman ist sehr mutig.,The main character in this novel is very brave.,Figuren,—
588,Übersetzung,die (feminin),Übersetzung,Translation,Books,Die Übersetzung ist fertig.,The translation is finished.,Übersetzungen,Übersetzung
589,Veröffentlichen,Verb,Veröffentlichen,To Publish,Books,"Der Autor plant, nächstes Jahr ein neues Buch zu veröffentlichen.",The author plans to publish a new book next year.,—,—
590,Das Budget,das (neutrum),Budget,The Budget,Business,Wir müssen das Budget für das Projekt planen.,We need to plan the budget for the project.,Budgets,—
591,Das Marketing,das (neutrum),Marketing,Marketing,Business,Die Marketingabteilung hat eine neue Kampagne gestartet.,The marketing department launched a new campaign.,—,—
592,Das Produkt,das (neutrum),Produkt,Product,Business,Das Produkt ist neu.,The product is new.,Produkte,—
593,Das Team,das (neutrum),Team,The Team,Business,"Das Team arbeitet eng zusammen, um das Projekt abzuschließen.",The team works closely together to complete the project.,Teams,—
594,Das Unternehmen,das (neutrum),Unternehmen,The Company,Business,Das Unternehmen expandiert international.,The company is expanding internationally.,Unternehmen,—
595,Das Wachstum,das (neutrum),Wachstum,Growth,Business,Das Wachstum ist stark.,The growth is strong.,—,—
596,Der Arbeiter,der (maskulin),Arbeiter,Worker,Business,Der Arbeiter ist müde.,The worker is tired.,Arbeiter,Arbeiterin
597,Der Arbeitgeber,der (maskulin),Arbeitgeber,The Employer,Business,Mein Arbeitgeber bietet flexible Arbeitszeiten an.,My employer offers flexible working hours.,Arbeitgeber,Arbeitgeberin
598,Der Arbeitnehmer,der (maskulin),Arbeitnehmer,The Employee,Business,Tina ist eine fleißige Arbeitnehmerin.,Tina is a hard-working employee.,Arbeitnehmer,Arbeitnehmerin
599,Der Arbeitsvertrag,der (maskulin),Arbeitsvertrag,The Employment Contract,Business,Ich habe den Arbeitsvertrag gestern unterschrieben.,I signed the employment contract yesterday.,Arbeitsverträge,—
600,Der Auftrag,der (maskulin),Auftrag,Order,Business,Wir haben einen neuen Auftrag.,We have a new order.,Aufträge,—
601,Der Brief,der (maskulin),Brief,Letter,Business,Ich schreibe einen Brief.,I am writing a letter.,Briefe,—
602,Der Briefumschlag,der (maskulin),Briefumschlag,Envelope,Business,Ich brauche einen Briefumschlag.,I need an envelope.,Briefumschläge,—
603,Der Gewinn,der (maskulin),Gewinn,The Profit,Business,Unser Gewinn ist dieses Quartal gestiegen.,Our profit increased this quarter.,Gewinne,—
604,Der Leiter,der (maskulin),Leiter,The Manager / Team Leader,Business,Der Projektleiter hat das Meeting geleitet.,The project manager led the meeting.,Leiter,—
605,Der Lieferant,der (maskulin),Lieferant,The Supplier,Business,Wir warten auf die Lieferung vom Lieferanten.,We are waiting for the delivery from the supplier.,Lieferanten,Lieferantin
606,Der Termin,der (maskulin),Termin,Appointment,Business,Ich habe einen Termin um zehn.,I have an appointment at ten.,Termine,—
607,Der Umsatz,der (maskulin),Umsatz,The Revenue / Turnover,Business,Der Umsatz ist im letzten Jahr um 15 % gestiegen.,Revenue increased by 15% last year.,Umsätze,—
608,Der Verkauf,der (maskulin),Verkauf,The Sale,Business,Die Verhandlungen mit dem neuen Kunden waren erfolgreich.,The negotiations with the new client were successful.,—,—
609,Der Verlust,der (maskulin),Verlust,The Loss,Business,Der Verkauf unserer Produkte läuft gut.,The sale of our products is going well.,Verluste,—
610,Der Wert,der (maskulin),Wert,Value,Business,Das Haus hat einen hohen Wert.,The house has a high value.,Werte,—
611,Die Arbeit,die (feminin),Arbeit,Work,Business,Die Arbeit macht Spaß.,The work is fun.,— (Unzählbar),Arbeit
612,Die Beförderung,die (feminin),Beförderung,The Promotion,Business,Sie hofft auf eine Beförderung im nächsten Jahr.,She hopes for a promotion next year.,Beförderungen,Beförderung
613,Die Bewerbung,die (feminin),Bewerbung,The Application,Business,Er hat seine Bewerbung an mehrere Unternehmen geschickt.,He sent his application to several companies.,Bewerbungen,Bewerbung
614,Die Dienstleistung,die (feminin),Dienstleistung,Service,Business,Wir bieten gute Dienstleistungen an.,We offer good services.,Dienstleistungen,Dienstleistung
615,Die Fortbildung,die (feminin),Fortbildung,The Further Training / Professional Development,Business,"Die Fortbildung hilft uns, neue Fähigkeiten zu erlernen.",The professional development helps us learn new skills.,Fortbildungen,Fortbildung
616,Die Industrie,die (feminin),Industrie,Industry,Business,Die Industrie wächst.,The industry is growing.,Industrien,Industrie
617,Die Investition,die (feminin),Investition,The Investment,Business,Das Unternehmen plant eine Investition in neue Technologien.,The company plans an investment in new technologies.,Investitionen,Investition
618,Die Karriere,die (feminin),Karriere,Career,Business,Sie macht Karriere.,She is making a career.,Karrieren,Karriere
619,Die Krawatte,die (feminin),Krawatte,Tie,Business,Die Krawatte passt zum Hemd.,The tie matches the shirt.,Krawatten,Krawatte
620,Die Kündigungsfrist,die (feminin),Kündigungsfrist,The Notice Period,Business,Die Kündigungsfrist beträgt vier Wochen.,The notice period is four weeks.,Kündigungsfristen,Kündigungsfrist
621,Die Marke,die (feminin),Marke,Brand,Business,Welche Marke ist das?,What brand is that?,Marken,Marke
622,Die Möglichkeit,die (feminin),Möglichkeit,Opportunity,Business,Es gibt keine andere Möglichkeit.,There is no other possibility.,Möglichkeiten,Möglichkeit
623,Die Nachfrage,die (feminin),Nachfrage,Demand,Business,Die Nachfrage ist groß.,The demand is high.,—,Nachfrage
624,Die Schulung,die (feminin),Schulung,The Training (Course),Business,Die neue Software erfordert eine Schulung.,The new software requires training.,Schulungen,—
625,Die Steuer,die (feminin),Steuer,Tax,Business,Wir müssen Steuern zahlen.,We have to pay taxes.,Steuern,—
626,Die Vereinbarung,die (feminin),Vereinbarung,The Agreement,Business,Wir haben eine Vereinbarung mit dem Partnerunternehmen getroffen.,We made an agreement with the partner company.,Vereinbarungen,—
627,Die Verhandlung,die (feminin),Verhandlung,The Negotiation,Business,Das Projekt führte zu einem finanziellen Verlust.,The project resulted in a financial loss.,Verhandlungen,—
628,Einstellen (Separable),Verb,Einstellen (Separable),To Hire,Business,Wir stellen nächsten Monat drei neue Mitarbeiter ein.,We are hiring three new employees next month.,—,—
629,Investieren,Verb,Investieren,To Invest,Business,Das Unternehmen investiert in neue Technologien.,The company invests in new technologies.,—,—
630,Präsentieren,Verb,Präsentieren,To Present,Business,Sie wird das Projekt präsentieren.,She will present the project.,—,—
631,Unterschreiben,Verb,Unterschreiben,To Sign,Business,Bitte unterschreiben Sie den Vertrag.,Please sign the contract.,—,—
632,Verhandeln,Verb,Verhandeln,To Negotiate,Business,Wir verhandeln über die neuen Konditionen.,We are negotiating the new terms.,—,—
633,Verkaufen,Verb,Verkaufen,To Sell,Business,Er will sein Haus verkaufen.,He wants to sell his house.,—,—
634,Sich Bewerben (Reflexive),Verb (reflexiv),Sich Bewerben (Reflexive),To Apply (For A Job),Business,Sie bewirbt sich um die Stelle als Projektleiterin.,She is applying for the position of project manager.,—,—
635,Das Automatikgetriebe,das (neutrum),Automatikgetriebe,The Automatic Transmission,Car,Mein neues Auto hat ein Automatikgetriebe.,My new car has an automatic transmission.,Automatikgetriebe,—
636,Das Elektroauto,das (neutrum),Elektroauto,The Electric Car,Car,"Sie hat sich ein Elektroauto gekauft, um umweltfreundlich zu fahren.",She bought an electric car to drive more eco-friendly.,Elektroautos,—
637,Das Gaspedal,das (neutrum),Gaspedal,The Accelerator,Car,"Drücke das Gaspedal vorsichtig, um gleichmäßig zu beschleunigen.",Press the accelerator carefully for smooth acceleration.,Gaspedale,—
638,Das Kupplungspedal,das (neutrum),Kupplungspedal,The Clutch Pedal,Car,"Du musst das Kupplungspedal durchdrücken, um zu schalten.",You must press the clutch pedal down to shift gears.,Kupplungspedale,—
639,Das Lenkrad,das (neutrum),Lenkrad,The Steering Wheel,Car,Halte das Lenkrad immer mit beiden Händen.,Always hold the steering wheel with both hands.,Lenkräder,—
640,Das Nummernschild,das (neutrum),Nummernschild,The License Plate,Car,Das Nummernschild zeigt das Kennzeichen meines Autos.,The license plate shows my car’s registration.,Nummernschilder,—
641,Das Schaltgetriebe,das (neutrum),Schaltgetriebe,The Manual Transmission,Car,Viele Fahrer bevorzugen ein Schaltgetriebe.,Many drivers prefer a manual transmission.,Schaltgetriebe,—
642,Das Verkehrszeichen,das (neutrum),Verkehrszeichen,The Traffic Sign,Car,Das Verkehrszeichen warnt vor einer scharfen Kurve.,The traffic sign warns of a sharp curve.,Verkehrszeichen,—
643,Der Airbag,der (maskulin),Airbag,The Airbag,Car,Der Airbag schützt den Fahrer bei einem Unfall.,The airbag protects the driver during an accident.,Airbags,—
644,Der Blinker,der (maskulin),Blinker,The Turn Signal / Indicator,Car,Setze immer rechtzeitig den Blinker beim Abbiegen.,Always use your turn signal in time when turning.,Blinker,—
645,Der Kraftstoff,der (maskulin),Kraftstoff,The Fuel,Car,Der Kraftstoff wird immer teurer.,Fuel is getting more expensive.,Kraftstoffe,—
646,Der Sicherheitsgurt,der (maskulin),Sicherheitsgurt,The Seatbelt,Car,Bitte legen Sie den Sicherheitsgurt an.,Please fasten your seatbelt.,Sicherheitsgurte,—
647,Der Stau,der (maskulin),Stau,The Traffic Jam,Car,Auf dem Weg zur Arbeit stehe ich oft im Stau.,I often sit in a traffic jam on the way to work.,Staus,—
648,Der Wagen,der (maskulin),Wagen,The Vehicle / Car,Car,Mein Wagen ist schon zehn Jahre alt.,My vehicle is already ten years old.,Wagen,—
649,Die Autobahn,die (feminin),Autobahn,The Highway,Car,Auf der Autobahn darf man oft schneller fahren.,You can often drive faster on the highway.,Autobahnen,Autobahn
650,Die Bremse,die (feminin),Bremse,The Brake,Car,"Ich trete die Bremse, um zu stoppen.",I press the brake to stop.,Bremsen,Bremse
651,Die Fahrprüfung,die (feminin),Fahrprüfung,The Driving Test,Car,Ich habe meine Fahrprüfung beim zweiten Versuch bestanden.,I passed my driving test on the second try.,Fahrprüfungen,Fahrprüfung
652,Die Fahrspur,die (feminin),Fahrspur,The Lane,Car,"Wechsle die Fahrspur nur, wenn es sicher ist.",Change lanes only when it is safe.,Fahrspuren,Fahrspur
653,Die Geschwindigkeitsbegrenzung,die (feminin),Geschwindigkeitsbegrenzung,The Speed Limit,Car,Die Geschwindigkeitsbegrenzung ist hier 50 km/h.,The speed limit is 50 km/h here.,Geschwindigkeitsbegrenzungen,Geschwindigkeitsbegrenzung
654,Die Handbremse,die (feminin),Handbremse,The Handbrake,Car,"Vergiss nicht, die Handbremse vor der Fahrt zu lösen.",Don’t forget to release the handbrake before driving.,Handbremsen,Handbremse
655,Die Hupe,die (feminin),Hupe,The Horn,Car,Nutzt die Hupe nur in Gefahrensituationen.,Use the horn only in dangerous situations.,Hupen,Hupe
656,Die Tankstelle,die (feminin),Tankstelle,The Gas Station,Car,"Ich halte an der Tankstelle, um zu tanken.",I stop at the gas station to refuel.,Tankstellen,—
657,Die Vorfahrt,die (feminin),Vorfahrt,The Right Of Way,Car,Hier hat der Gegenverkehr Vorfahrt.,"On this road, oncoming traffic has the right of way.",—,—
658,Lustig,adjektiv,Lustig,Funny,Cinema,Der Film war sehr lustig.,The movie was very funny.,—,—
659,Spannend,adjektiv,Spannend,Exciting,Cinema,Die Handlung war sehr spannend.,The plot was very exciting.,—,—
660,Traurig,adjektiv,Traurig,Sad,Cinema,Das Ende des Films war sehr traurig.,The ending of the movie was very sad.,—,—
661,Das Drama,das (neutrum),Drama,The Drama,Cinema,Das Drama gewann viele Preise.,The drama won many awards.,Dramen,—
662,Das Drehbuch,das (neutrum),Drehbuch,The Screenplay,Cinema,Das Drehbuch wurde von einem berühmten Autor geschrieben.,The screenplay was written by a famous author.,Drehbücher,—
663,Das Genre,das (neutrum),Genre,The Genre,Cinema,Horror ist nicht mein Lieblingsgenre.,Horror is not my favorite genre.,Genres,—
664,Das Kino,das (neutrum),Kino,The Cinema,Cinema,Wir treffen uns um 7 Uhr vor dem Kino.,We’ll meet at 7 o’clock in front of the cinema.,Kinos,—
665,Das Popcorn,das (neutrum),Popcorn,The Popcorn,Cinema,Ich kaufe immer Popcorn im Kino.,I always buy popcorn at the cinema.,—,—
666,Der Abspann,der (maskulin),Abspann,The End Credits,Cinema,"Wir blieben sitzen, um den Abspann zu sehen.",We stayed seated to watch the end credits.,—,—
667,Der Actionfilm,der (maskulin),Actionfilm,The Action Movie,Cinema,Mein Bruder liebt Actionfilme.,My brother loves action movies.,Actionfilme,—
668,Der Film,der (maskulin),Film,The Movie,Cinema,Hast du den neuen Film gesehen?,Have you seen the new movie?,Filme,—
669,Der Horrorfilm,der (maskulin),Horrorfilm,The Horror Film,Cinema,Der Horrorfilm war sehr gruselig.,The horror film was very scary.,Horrorfilme,—
670,Der Regisseur,der (maskulin),Regisseur,The Director,Cinema,Der Regisseur ist für seinen einzigartigen Stil bekannt.,The director is known for his unique style.,Regisseure,Regisseurin
671,Der Schauspieler,der (maskulin),Schauspieler,The Actor,Cinema,Der Schauspieler hat eine großartige Leistung erbracht.,The actor gave a great performance.,Schauspieler,Schauspielerin
672,Der Sitzplatz,der (maskulin),Sitzplatz,The Seat,Cinema,Unsere Sitzplätze sind in der Mitte.,Our seats are in the middle.,Sitzplätze,—
673,Der Soundtrack,der (maskulin),Soundtrack,The Soundtrack,Cinema,Der Soundtrack des Films ist fantastisch.,The movie’s soundtrack is fantastic.,Soundtracks,—
674,Der Titel,der (maskulin),Titel,The Title,Cinema,Wie lautet der Titel des Films?,What is the title of the movie?,Titel,—
675,Der Trailer,der (maskulin),Trailer,The Trailer,Cinema,Hast du den neuen Trailer gesehen?,Did you see the new trailer?,Trailers,—
676,Der Zuschauer,der (maskulin),Zuschauer,The Viewer,Cinema,Die Zuschauer waren begeistert.,The viewers were thrilled.,Zuschauer,—
677,Die Kamera,die (feminin),Kamera,The Camera,Cinema,Die Kameraarbeit in diesem Film ist beeindruckend.,The cinematography in this film is impressive.,Kameras,Kamera
678,Die Komödie,die (feminin),Komödie,The Comedy,Cinema,Die Komödie hat uns zum Lachen gebracht.,The comedy made us laugh.,Komödien,Komödie
679,Die Leinwand,die (feminin),Leinwand,The Screen,Cinema,Der Film wurde auf einer großen Leinwand gezeigt.,The movie was shown on a big screen.,Leinwände,Leinwand
680,Die Pause,die (feminin),Pause,The Intermission,Cinema,Es gab eine kurze Pause in der Mitte des Films.,There was a short intermission in the middle of the film.,Pausen,Pause
681,Die Premiere,die (feminin),Premiere,The Premiere,Cinema,Die Premiere des Films ist nächsten Freitag.,The movie’s premiere is next Friday.,Premieren,Premiere
682,Die Rezension,die (feminin),Rezension,The Review,Cinema,Die Rezension des Films war positiv.,The review of the movie was positive.,Rezensionen,Rezension
683,Die Schauspielerin,die (feminin),Schauspielerin,The Actress,Cinema,Die Schauspielerin gewann einen Preis.,The actress won an award.,Schauspielerinnen,Schauspielerin
684,Die Szene,die (feminin),Szene,The Scene,Cinema,Diese Szene war besonders beeindruckend.,That scene was particularly impressive.,Szenen,—
685,Filmen,Verb,Filmen,To Film,Cinema,"Sie planen, in Berlin zu filmen.",They plan to film in Berlin.,—,—
686,Schneiden,Verb,Schneiden,To Cut,Cinema,Sie müssen den Film noch schneiden.,They still need to edit the film.,—,—
687,Synchronisieren,Verb,Synchronisieren,To Dub,Cinema,Der Film wurde ins Deutsche synchronisiert.,The film was dubbed into German.,—,—
688,Das Hemd,das (neutrum),Hemd,The Shirt,Clothing,Er trägt ein weißes Hemd zur Arbeit.,He wears a white shirt to work.,Hemden,—
689,Das Kleid,das (neutrum),Kleid,The Dress,Clothing,Laura trägt heute ein blaues Kleid.,Laura is wearing a blue dress today.,Kleider,—
690,Das T-Shirt,das (neutrum),T-Shirt,The T-Shirt,Clothing,Er trägt ein blaues T-Shirt.,He is wearing a blue T-shirt.,T-Shirts,—
691,Der Anzug,der (maskulin),Anzug,The Suit,Clothing,Tom kauft den schwarzen Anzug.,Tom buys the black suit.,Anzüge,—
692,Der Badeanzug,der (maskulin),Badeanzug,The Swimsuit,Clothing,Tina trägt ihren neuen Badeanzug am Strand.,Tina wears her new swimsuit at the beach.,Badeanzüge,—
693,Der Bikini,der (maskulin),Bikini,The Bikini,Clothing,Sie hat einen roten Bikini gekauft.,She bought a red bikini.,Bikinis,—
694,Der Hut,der (maskulin),Hut,The Hat,Clothing,Meine Jacke hält mich im Herbst warm.,My jacket keeps me warm in autumn.,Hüte,—
695,Der Mantel,der (maskulin),Mantel,The Coat,Clothing,Im Winter brauche ich meinen dicken Mantel.,I need my thick coat in winter.,Mäntel,—
696,Der Pullover,der (maskulin),Pullover,The Sweater,Clothing,Mein Pullover ist aus Wolle.,My sweater is made of wool.,Pullover,—
697,Der Rock,der (maskulin),Rock,The Skirt,Clothing,Sie trägt einen roten Rock.,She is wearing a red skirt.,Röcke,—
698,Der Schal,der (maskulin),Schal,The Scarf,Clothing,Ich habe meinen Schal im Auto vergessen.,I left my scarf in the car.,Schals,—
699,Handschuh,der (maskulin),Handschuh,The Glove,Clothing,Im Winter trage ich immer Handschuhe.,I always wear gloves in winter.,Handschuhe,—
700,Die Badehose,die (feminin),Badehose,The Swimming Trunks,Clothing,Peter kauft eine neue Badehose.,Peter buys new swimming trunks.,Badehosen,Badehose
701,Die Bluse,die (feminin),Bluse,The Blouse,Clothing,Die Bluse passt gut zu der Hose.,The blouse goes well with the trousers.,Blusen,Bluse
702,Die Brille,die (feminin),Brille,The Glasses,Clothing,Peter braucht eine Brille zum Lesen.,Peter needs glasses to read.,Brillen,Brille
703,Die Hose,die (feminin),Hose,The Trousers,Clothing,Sie hat eine neue schwarze Hose.,She has new black trousers.,Hosen,Hose
704,Die Jacke,die (feminin),Jacke,The Jacket,Clothing,Diese Jeans sind sehr bequem.,These jeans are very comfortable.,Jacken,Jacke
705,Die Mütze,die (feminin),Mütze,The Cap,Clothing,"Er trägt eine Mütze, weil es draußen kalt ist.",He’s wearing a hat because it’s cold outside.,Mützen,Mütze
706,Die Sonnenbrille,die (feminin),Sonnenbrille,The Sunglasses,Clothing,Tom möchte eine neue Sonnenbrile kaufen.,Tom wants to buy new sunglasses.,Sonnenbrillen,—
707,Die Unterwäsche,die (feminin),Unterwäsche,The Underwear,Clothing,Es gibt Unterwäsche im Angebot.,There’s underwear on offer.,—,—
708,Socke,die (feminin),Socke,The Sock,Clothing,Diese Socken sind sehr warm und bequem.,These socks are very warm and comfortable.,Socken,—
709,Die Schuhe,Plural,Schuhe,The Shoes,Clothing,Meine Schuhe sind neu und glänzen noch.,My shoes are new and still shiny.,—,—
710,Golden,adjektiv,Golden,Golden,Colors,Das Schmuckstück ist golden.,The piece of jewelry is golden.,—,—
711,Silbern,adjektiv,Silbern,Silver,Colors,Sie trägt silberne Ohrringe.,She is wearing silver earrings.,—,—
712,Dunkelblau,Farbe,Dunkelblau,Dark Blue,Colors,Er trägt einen dunkelblauen Anzug.,He is wearing a dark blue suit.,—,—
713,Dunkelgrün,Farbe,Dunkelgrün,Dark Green,Colors,Der Wald ist dunkelgrün.,The forest is dark green.,—,—
714,Hellblau,Farbe,Hellblau,Light Blue,Colors,Sie trägt ein hellblaues Kleid.,She is wearing a light blue dress.,—,—
715,Hellgrün,Farbe,Hellgrün,Light Green,Colors,Die Blätter sind hellgrün im Frühling.,The leaves are light green in spring.,—,—
716,Pink,Farbe,Pink,Pink,Colors,Das Kinderzimmer ist pink gestrichen.,The children’s room is painted pink.,—,—
717,Türkis,Farbe,Türkis,Turquoise,Colors,Das Meer ist türkis.,The sea is turquoise.,—,—
718,Violett,Farbe,Violett,Violet,Colors,Der Abendhimmel ist violett.,The evening sky is violet.,—,—
719,Beige,Farbe/adjektiv,Beige,Beige,Colors,Ich habe eine beige Jacke gekauft.,I bought a beige jacket.,—,—
720,Blau,Farbe/adjektiv,Blau,Blue,Colors,Der Himmel ist heute blau.,The sky is blue today.,—,—
721,Braun,Farbe/adjektiv,Braun,Brown,Colors,Sie hat braune Augen.,She has brown eyes.,—,—
722,Gelb,Farbe/adjektiv,Gelb,Yellow,Colors,Die Sonne ist gelb.,The sun is yellow.,—,—
723,Grau,Farbe/adjektiv,Grau,Gray,Colors,Heute ist ein grauer Tag.,Today is a gray day.,—,—
724,Grün,Farbe/adjektiv,Grün,Green,Colors,Das Gras ist grün.,The grass is green.,—,—
725,Lila,Farbe/adjektiv,Lila,Purple,Colors,Lila ist ihre Lieblingsfarbe.,Purple is her favorite color.,—,—
726,Orange,Farbe/adjektiv,Orange,Orange,Colors,Er trägt einen orangenen Pullover.,He is wearing an orange sweater.,—,—
727,Rot,Farbe/adjektiv,Rot,Red,Colors,Die Rose ist rot.,The rose is red.,—,—
728,Schwarz,Farbe/adjektiv,Schwarz,Black,Colors,Die Katze ist schwarz.,The cat is black.,—,—
729,Weiß,Farbe/adjektiv,Weiß,White,Colors,Der Schnee ist weiß.,The snow is white.,—,—
730,Das Besetztzeichen,das (neutrum),Besetztzeichen,The Busy Signal,Communication,"Ich habe ihn angerufen, aber es gab nur das Besetztzeichen.","I called him, but there was only a busy signal.",Besetztzeichen,—
731,Das Mikrofon,das (neutrum),Mikrofon,The Microphone,Communication,"Bitte überprüfen Sie, ob Ihr Mikrofon eingeschaltet ist.",Please check if your microphone is turned on.,Mikrofone,—
732,Das Signal,das (neutrum),Signal,The Signal,Communication,Das Signal ist hier sehr schwach.,The signal is very weak here.,Signale,—
733,Das Telefongespräch,das (neutrum),Telefongespräch,The Phone Conversation,Communication,Wir hatten ein langes Telefongespräch über das Projekt.,We had a long phone conversation about the project.,Telefongespräche,—
734,Das Telefonnetz,das (neutrum),Telefonnetz,The Telephone Network,Communication,Das Telefonnetz ist momentan überlastet.,The telephone network is currently overloaded.,Telefonnetze,—
735,Das Wählton,der (maskulin),Wählton,The Dial Tone,Communication,Ich höre keinen Wählton.,I don’t hear a dial tone.,Wieltöne,—
736,Der Anrufbeantworter,der (maskulin),Anrufbeantworter,The Answering Machine,Communication,Bitte hinterlassen Sie eine Nachricht auf dem Anrufbeantworter.,Please leave a message on the answering machine.,Anrufbeantworter,—
737,Der Empfang,der (maskulin),Empfang,The Reception,Communication,Hier im Gebäude ist der Empfang sehr schlecht.,The reception is very poor in this building.,Empfänge,—
738,Der Sprecher,der (maskulin),Sprecher,The Speaker,Communication,Der Sprecher war in der Telefonkonferenz sehr deutlich.,The speaker was very clear in the conference call.,Sprecher,—
739,Der Telefonhörer,der (maskulin),Telefonhörer,The Telephone Receiver,Communication,Er legte den Telefonhörer auf.,He hung up the telephone receiver.,Telefonhörer,—
740,Die Durchwahl,die (feminin),Durchwahl,The Extension Number,Communication,Sie erreichen mich unter meiner Durchwahl 203.,You can reach me at my extension number 203.,Durchwahlen,Durchwahl
741,Die Gesprächsnotiz,die (feminin),Gesprächsnotiz,The Call Note,Communication,Ich habe eine Gesprächsnotiz für Sie hinterlassen.,I left a call note for you.,Gesprächsnotizen,Gesprächsnotiz
742,Die Konferenzschaltung,die (feminin),Konferenzschaltung,The Conference Call,Communication,Wir haben eine Konferenzschaltung mit dem Team in Berlin.,We have a conference call with the team in Berlin.,—,Konferenzschaltung
743,Die Leitung,die (feminin),Leitung,The Line,Communication,"Die Leitung ist besetzt, rufen Sie später an.","The line is busy, call back later.",Leitungen,Leitung
